experiment_id,dataset,mode,n,patterns,pattern_hash,runtime_mean_ms,runtime_sd_ms,runtime_median_ms,runtime_iqr_ms,runtime_ci95_lo_ms,runtime_ci95_hi_ms,heap_mean_mb,heap_sd_mb,heap_median_mb,nodes_median,candidates_median,corr_pruned_median,uo_bound_pruned_median,eda_aborts_median,duo_entries_median,lazy_duo_skips_median
journal_chess,Chess,CORHUOPM_AC,10,3408,7dbf5702be7b814a09e50e5e3ea2bf405a5a6b0a5383c01710a1cafc0bccf9b7,6345.8,255.1369131357602,6415.5,428.5,6163.298727331123,6528.301272668878,309.730265,0.20071395503441983,309.760536,38760.0,39972.0,8638.0,15293.0,0.0,0.0,0.0
journal_chess,Chess,CORHUOPM_BOND,10,453,f603f6ce33d4201128364d4b6f5eb987c005a6f067d56bdd5a93ed0df8ce9861,1147.9,52.673944644809396,1139.5,66.0,1110.2219477886663,1185.578052211334,326.1623002,36.44870988330137,309.328396,8008.0,8163.0,975.0,4086.0,0.0,0.0,0.0
journal_chess,Chess,COUPM_KULC_ADAPTED,10,8007,50ea1a00c838761cc85ac321942e18af566cf56c47e189cc7d8b549d983b20df,11026.3,542.5036712625393,11130.0,782.75,10638.243214268374,11414.356785731625,309.8591454,0.12453194321690644,309.9097175,67746.0,70869.0,0.0,33950.0,0.0,0.0,0.0
journal_chess,Chess,HUOPM,10,11469,5db5b2e39b47aaaa17ce0907085c6afd2797d1dba384ffb81631441e1b1ee08e,11073.8,581.6993878093544,11166.5,941.5,10657.706235749489,11489.89376425051,309.9078957,0.13440007287947492,309.9300115,67746.0,70869.0,0.0,33950.0,0.0,0.0,0.0
journal_chess,Chess,UOB_EAGER_DUO,10,65,3e6d37edd1d2fc11ac320165825850303ac097ebf806401db08c12edffb8d91d,1525.8,94.96525680479151,1527.5,99.5,1457.8706674185592,1593.7293325814408,462.3126922,87.50974010443592,486.0164565,6972.0,10642.0,3014.0,4928.0,3014.0,24326224.0,0.0
journal_chess,Chess,UOB_FULL,10,65,3e6d37edd1d2fc11ac320165825850303ac097ebf806401db08c12edffb8d91d,1443.6,84.44616957302182,1442.5,89.75,1383.1950463236665,1504.0049536763333,387.4147445,85.35521945290878,370.5419385,6972.0,10642.0,2758.0,4928.0,2758.0,22154376.0,946.0
journal_chess,Chess,UOB_NO_EDA,10,65,3e6d37edd1d2fc11ac320165825850303ac097ebf806401db08c12edffb8d91d,1630.2,108.4750867455032,1618.0,88.0,1552.6069887002702,1707.7930112997299,386.0202697,50.44467408262774,370.784294,11131.0,12207.0,4159.0,4928.0,0.0,35442828.0,1110.0
journal_chess,Chess,UOB_NO_UO_BOUND,10,65,3e6d37edd1d2fc11ac320165825850303ac097ebf806401db08c12edffb8d91d,3869.5,167.55778439425342,3861.5,285.25,3749.6447092790645,3989.3552907209355,328.0435859,30.034812751987843,309.7599715,27802.0,38830.0,9750.0,0.0,9750.0,88725944.0,1312.0
journal_chess,Chess,UOB_POSTFILTER,10,65,3e6d37edd1d2fc11ac320165825850303ac097ebf806401db08c12edffb8d91d,15596.1,688.4274269828463,15516.5,1295.25,15103.66290016852,16088.537099831481,309.93986440000003,0.0721532960965784,309.9294205,67746.0,70869.0,0.0,33950.0,0.0,0.0,0.0
journal_chess,Chess,UOB_RECOMPUTE_DUO,10,65,3e6d37edd1d2fc11ac320165825850303ac097ebf806401db08c12edffb8d91d,4856.2,270.62429881869645,4852.0,468.75,4662.620488738709,5049.77951126129,346.5493219,96.91997891054118,309.79894249999995,11131.0,12207.0,4159.0,4928.0,0.0,184600077.0,1110.0
journal_foodmart,Foodmart,CORHUOPM_AC,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,855.6,44.776481922247235,846.5,32.5,823.5710597889971,887.6289402110029,336.4520858,45.372445285237774,310.0289,1559.0,1214358.0,0.0,4.0,0.0,0.0,0.0
journal_foodmart,Foodmart,CORHUOPM_BOND,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,866.2,46.08880317146213,853.5,35.5,833.2323469418886,899.1676530581115,364.4851013,44.729865999380536,369.28652950000003,1559.0,1214358.0,0.0,4.0,0.0,0.0,0.0
journal_foodmart,Foodmart,COUPM_KULC_ADAPTED,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,860.0,48.842149374854046,846.0,56.25,825.0628585599795,894.9371414400205,340.7656228,45.06381765710862,309.528519,1559.0,1214358.0,0.0,4.0,0.0,0.0,0.0
journal_foodmart,Foodmart,HUOPM,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,873.4,31.443776985456296,871.0,34.75,850.9080397154894,895.8919602845106,358.4930596,54.6933313417509,348.6188165,1559.0,1214358.0,0.0,4.0,0.0,0.0,0.0
journal_foodmart,Foodmart,UOB_EAGER_DUO,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,1010.8,83.57139329805253,1010.5,128.25,951.0207800974284,1070.5792199025714,525.626319,184.96351370806582,495.4068985,1559.0,1214358.0,1214358.0,4.0,1214358.0,0.0,0.0
journal_foodmart,Foodmart,UOB_FULL,10,437,3ff565168ca55cad81f3522c75b79511b1b399758e4f71b27cc2076130a685a9,867.0,50.53931363030391,861.0,85.25,830.8488647370515,903.1511352629485,351.35196229999997,57.09291782749032,309.0293615,1559.0,1214358.0,0.0,4.0,0.0,0.0,1214358.0
